description-text,clean_review,sentiment,sentiment_score,Condition,Age_numeric,Gender,topic
"Worked really well for like 2 months then I got restlessness and couldn't stop moving so bad I couldn't barely drive my car because I was was just exploding with movement and having suicidal thoughts. Read online that it could of been permanent, that would of ruined my life, thankfully I've been off of it and it has slowly went away.",worked really like months got restlessness stop moving bad barely drive car just exploding movement having suicidal thoughts read online permanent ruined life thankfully ive slowly went away,Négatif,-0.8722,     Schizophrenia,29.5,male,1
This is the worst drug on the market. It caused me to gain over 50 pounds and I developed a compulsive gambling problem. The drug company Bristol-Meyers claims they did nothing wrong. This drug ruined my life and left me far more depressed than before I took it.,worst market caused gain pounds developed compulsive gambling problem company bristolmeyers claims did wrong ruined life left far depressed took,Négatif,-0.9169,     Additional Medications to Treat Depression,39.5,female,4
"I was prescribed as a child at 15 years old. It caused me to have muscle spasms in my jaw. I could not open my mouth and was on the verge of breaking my jaw. All the psychiatrist did was lower my dosage, I was forced to take this for 2 years due to my adolescents. Now I have a long term side effect of chronic tmj and I have just recently broke my jaw while eating cereal as an adult, 18 years down the road.",prescribed child years old caused muscle spasms jaw open mouth verge breaking jaw psychiatrist did lower dosage forced years adolescents long term effect chronic tmj just recently broke jaw eating cereal adult years road,Négatif,-0.7906,     Additional Medications to Treat Depression,49.5,female,0
"ABILIFY IS POISON. IT CAUSED ME TO BE A COMPULSIVE GAMBLER. IT DID NOT HELP. IT SHOULD BE ILLEGAL. THE COMPANY THAT MADE ABILIFY OR ARIPROPRAZOLE IS SCAMMING U.S. TAXPAYERS BY HAVING MEDICAL INSURANCE PAY OUTRAGEOUS AMOUNTS OF MONEY TO BUY THEIR DRUG THAT SHOULD NEVER BE TAKEN. IT'S A SCAM, AND SO ARE 99% OF THE GO TO DRUGS FOR PYSCHIATRISTS.",poison caused compulsive gambler did help illegal company ariproprazole scamming taxpayers having medical insurance pay outrageous amounts money buy taken scam drugs pyschiatrists,Négatif,-0.91,     Other,29.5,female,5
"ABILIFY IS POISON. IT CAUSED ME TO BE A COMPULSIVE GAMBLER. IT DID NOT HELP. IT SHOULD BE ILLEGAL. THE COMPANY THAT MADE ABILIFY OR ARIPROPRAZOLE IS SCAMMING U.S. TAXPAYERS BY HAVING MEDICAL INSURANCE PAY OUTRAGEOUS AMOUNTS OF MONEY TO BUY THEIR DRUG THAT SHOULD NEVER BE TAKEN. IT'S A SCAM, AND SO ARE 99% OF THE GO TO DRUGS FOR PYSCHIATRISTS.",poison caused compulsive gambler did help illegal company ariproprazole scamming taxpayers having medical insurance pay outrageous amounts money buy taken scam drugs pyschiatrists,Négatif,-0.91,     Additional Medications to Treat Depression,59.5,female,5
"Abilify caused me to gain over 70lbs. develop type 2 diabetes a terrible rash over my entire body & has made me feel suicidal for years. In addition to these side effects it has made me have more episodes at night with my sleep apnea, restless legs and terrible leg cramps. I have been on this drug for 10-15 years still experience sensation hallucinations and intense nightmares, some night feeling like I was going to die. Stay off this drug trust this guinea pig it will ruin your life!",caused gain lbs develop type diabetes terrible rash entire body feel suicidal years addition episodes night sleep apnea restless legs terrible leg cramps years experience sensation hallucinations intense nightmares night feeling like going die stay trust guinea pig ruin life,Négatif,-0.9217,     Bipolar I Disorder with Most Recent Episode Mixed,29.5,female,4
"I was prescribed as a child at 15 years old. It caused me to have muscle spasms in my jaw. I could not open my mouth and was on the verge of breaking my jaw. All the psychiatrist did was lower my dosage, I was forced to take this for 2 years due to my adolescents. Now I have a long term side effect of chronic tmj and I have just recently broke my jaw while eating cereal as an adult, 18 years down the road.",prescribed child years old caused muscle spasms jaw open mouth verge breaking jaw psychiatrist did lower dosage forced years adolescents long term effect chronic tmj just recently broke jaw eating cereal adult years road,Négatif,-0.7906,     Bipolar Disorder in Remission,29.5,female,0
"Working quite well for me.  I have depression due to ptsd and it has helped tremendously.  I have a few side effects but weight gain, etc., are not a factor since I eat a healthy diet.  I have continued to lose weight while taking.  I have a slight tremor at times in my left lower leg but nothing that prohibits me from living.",working quite depression ptsd helped tremendously weight gain factor eat healthy diet continued lose weight slight tremor times left lower leg prohibits living,Négatif,-0.3642,     Additional Medications to Treat Depression,69.5,male,2
"My kids think this is for szichsophrenia. This is dangerous to translate. Because they are from broken homes and safe to say I am not any longer. It has several uses. But, I use it for depression. Strong.",kids think szichsophrenia dangerous translate broken homes safe say longer uses use depression strong,Négatif,-0.5719,     Additional Medications to Treat Depression,59.5,female,3
"I was prescribed as a child at 15 years old. It caused me to have muscle spasms in my jaw. I could not open my mouth and was on the verge of breaking my jaw. All the psychiatrist did was lower my dosage, I was forced to take this for 2 years due to my adolescents. Now I have a long term side effect of chronic tmj and I have just recently broke my jaw while eating cereal as an adult, 18 years down the road.",prescribed child years old caused muscle spasms jaw open mouth verge breaking jaw psychiatrist did lower dosage forced years adolescents long term effect chronic tmj just recently broke jaw eating cereal adult years road,Négatif,-0.7906,     Bipolar Disorder in Remission,15.5,nan,0
"ABILIFY IS POISON. IT CAUSED ME TO BE A COMPULSIVE GAMBLER. IT DID NOT HELP. IT SHOULD BE ILLEGAL. THE COMPANY THAT MADE ABILIFY OR ARIPROPRAZOLE IS SCAMMING U.S. TAXPAYERS BY HAVING MEDICAL INSURANCE PAY OUTRAGEOUS AMOUNTS OF MONEY TO BUY THEIR DRUG THAT SHOULD NEVER BE TAKEN. IT'S A SCAM, AND SO ARE 99% OF THE GO TO DRUGS FOR PYSCHIATRISTS.",poison caused compulsive gambler did help illegal company ariproprazole scamming taxpayers having medical insurance pay outrageous amounts money buy taken scam drugs pyschiatrists,Négatif,-0.91,     Schizophrenia,59.5,male,5
I was having severe aggression and anger towards family. I was put on this med and 2-3 weeks later I felt better. I had less aggression and anger. This med helped me for a while but I was then taken off of it due to its side effects. I had gained 15-20 pounds on it and I was extremely tired. On some nights I was going to bed around 730. It was taking me almost an hour to get up for school. it was great for me but its side effects was the one downside i had against this med.,having severe aggression anger family med weeks later felt better aggression anger med helped taken gained pounds extremely tired nights going bed hour school great downside med,Négatif,-0.8399,     Other,15.5,male,1
"This medication made me feel more depressed, I was better off before I began taking it.",medication feel depressed better began,Négatif,-0.1027,     Additional Medications to Treat Depression,59.5,female,4
"I have Major depression, Bipolar type 2, PTSD, Panic and anxiety disorder and ADHD. Great combo I know. Anyways.... I hate this medication. A week in I started going crazy. I had a crazy panic attacks that made me want to hurt myself and I started having suicidal thoughts. Spoke to my psychiatrist, no longer on it....trying new medication Seroquel. The other medication i'm on is Prozac, my psychiatrist prescribed me this to help with my bipolar disorder. Prozac only helps with my depression.",major depression bipolar type ptsd panic anxiety disorder adhd great combo know anyways hate medication week started going crazy crazy panic attacks want hurt started having suicidal thoughts spoke psychiatrist longer ittrying new medication seroquel medication im prozac psychiatrist prescribed help bipolar disorder prozac helps depression,Négatif,-0.9829,     Additional Medications to Treat Depression,21.5,female,4
"Abilify caused me to gain over 70lbs. develop type 2 diabetes a terrible rash over my entire body & has made me feel suicidal for years. In addition to these side effects it has made me have more episodes at night with my sleep apnea, restless legs and terrible leg cramps. I have been on this drug for 10-15 years still experience sensation hallucinations and intense nightmares, some night feeling like I was going to die. Stay off this drug trust this guinea pig it will ruin your life!",caused gain lbs develop type diabetes terrible rash entire body feel suicidal years addition episodes night sleep apnea restless legs terrible leg cramps years experience sensation hallucinations intense nightmares night feeling like going die stay trust guinea pig ruin life,Négatif,-0.9217,     Additional Medications to Treat Depression,15.5,,4
it did help with my psychosis but made me really constipated and gave me terrible nightmares my depression was not improving and in less than a month i got sent back to inpatient way more trouble than it was worth,did help psychosis really constipated gave terrible nightmares depression improving month got sent inpatient way trouble worth,Négatif,-0.5209,     Other,15.5,transgender,3
Our autistic son was prescribed after experiencing violent tics/outbursts. The medication caused his behaviors to be more frequent when the dosage was increased. We took him off and he now has the behaviors once every couple of days.,autistic son prescribed experiencing violent ticsoutbursts medication caused behaviors frequent dosage increased took behaviors couple days,Négatif,-0.4215,     Other,15.5,male,0
"It makes u feel invisble, like u will die, u will gain weight, u will be weak. Ur eyes will be bad. Lifes still wrecked",makes u feel invisble like u die u gain weight u weak ur eyes bad lifes wrecked,Négatif,-0.6597,     Schizophrenia,29.5,male,2
