description-text,clean_review,sentiment,sentiment_score,Condition,Age_numeric,Gender,topic
"I've taken Abilify to augment bupropion for Bipolar Disorder and associated Major Depression for years now and it's been exceptionally effective.
I especially like it because I've had no side effects unlike other antipsychotics.
I highly recommend despite the negative reviews from a small number of users.",ive taken augment bupropion bipolar disorder associated major depression years exceptionally effective especially like ive unlike antipsychotics highly recommend despite negative reviews small number users,Positif,0.751,     Bipolar Disorder in Remission,69.5,female,4
Worked for 3 months. Waste of time. You think your all better then it's like taking candy and it doesnt do anything anymore. Not worth 768 dollars.,worked months waste time think better like candy doesnt anymore worth dollars,Positif,0.2344,     Schizophrenia,39.5,male,0
My sister has been taking Ability for about 3yrs now. In the last 1 1/2 yrs her impulsive behavior has increased. She liked to gamble every so often before but over the past 1 1/2 yrs if has gotten out of control. She was also started on Fluvoxamine about 1 yr ago. Has anyone ever expected this side effect?  Thanks,sister ability yrs yrs impulsive behavior increased liked gamble past yrs gotten control started fluvoxamine yr ago expected effect thanks,Positif,0.8442,     Additional Medications to Treat Depression,59.5,female,0
"I've been on Lexapro for 15 years for dysthymia and bouts of clinical depression. The Lex kept the sharpest corners smoothed off, but only gave me a grey existence.

My current Psychiatrist added 5 mg of Abilify to my medications. The effect has been nothing short of a miracle cure.  I hope Abilify continues to work for me for a very long time.",ive lexapro years dysthymia bouts clinical depression lex kept sharpest corners smoothed gave grey existence current psychiatrist added medications effect short miracle cure hope continues work long time,Positif,0.4939,     Additional Medications to Treat Depression,39.5,female,4
"This worked great to stabilize my mood, however the side effects were WAY too strong. The main issue I had with this was how it spiked my anxiety. I went from bouncing my knees every so often to having to stand up and start pacing, not being able to sit down and just being extremely restless. It got in the way of my every day activities and was an overall nuisance. Not very happy with this one.",worked great stabilize mood way strong main issue spiked anxiety went bouncing knees having stand start pacing able sit just extremely restless got way day activities overall nuisance happy,Positif,0.8405,     Additional Medications to Treat Depression,15.5,transgender,1
"Nightmarish to say the least. Gave me suicidal thoughts, insomnia, mania, the impression that I want to just sleep with men, delusions and hallucinations. If you take this make sure you camp out outside a hospital. Not good at all and wish I had that time back!",nightmarish say gave suicidal thoughts insomnia mania impression want just sleep men delusions hallucinations make sure camp outside hospital good wish time,Positif,0.5574,     Other,39.5,female,2
this medication is so bad it ruined my life ive been on this medication since like 2019 i believe i gained a ton of weight i was like 117 and now i  234 pounds and obese i really recommend if your on this medication to change it immediately if its working for you thats good but if its not i recommend changing it because i lost weight since i got off of it,medication bad ruined life ive medication like believe gained ton weight like pounds obese really recommend medication change immediately working thats good recommend changing lost weight got,Positif,0.734,     Other,15.5,female,0
"I was on Abilify for two years or so, it worked great until by body continued to build a high tolerance on it. I started at a decently low dose and had to be increased every now and then. I eventually reached the max dosage- I had already been at a very high dose for my age- and had to be taken off because of the inability to control facial expressions and other muscles (Tardive Dyskinesia).",years worked great body continued build high tolerance started decently low dose increased eventually reached max dosage high dose age taken inability control facial expressions muscles tardive dyskinesia,Positif,0.6124,     Additional Medications to Treat Depression,29.5,female,2
Ive been on abilify for six years. Ive noticed that it caused a lot of weight gain especially when first starting it. The weight gain doesnt seem that bad once you realize that all your bipolar symptoms are gone. Be aware of restlessness since it causes a ton of that. Im slowly switching off of abilify because the weight gain has been affecting my physical health.,ive years ive noticed caused lot weight gain especially starting weight gain doesnt bad realize bipolar symptoms gone aware restlessness causes ton im slowly switching weight gain affecting physical health,Positif,0.8968,     Bipolar I Disorder with Most Recent Episode Mixed,21.5,female,0
"I was on Abilify for two years or so, it worked great until by body continued to build a high tolerance on it. I started at a decently low dose and had to be increased every now and then. I eventually reached the max dosage- I had already been at a very high dose for my age- and had to be taken off because of the inability to control facial expressions and other muscles (Tardive Dyskinesia).",years worked great body continued build high tolerance started decently low dose increased eventually reached max dosage high dose age taken inability control facial expressions muscles tardive dyskinesia,Positif,0.6124,     Other,15.5,male,2
"I was on Abilify for two years or so, it worked great until by body continued to build a high tolerance on it. I started at a decently low dose and had to be increased every now and then. I eventually reached the max dosage- I had already been at a very high dose for my age- and had to be taken off because of the inability to control facial expressions and other muscles (Tardive Dyskinesia).",years worked great body continued build high tolerance started decently low dose increased eventually reached max dosage high dose age taken inability control facial expressions muscles tardive dyskinesia,Positif,0.6124,     Additional Medications to Treat Depression,15.5,female,2
On it to long causes stiffness mouth twitching and insatiable appetite. With weight gain,long causes stiffness mouth twitching insatiable appetite weight gain,Positif,0.5267,     Bipolar Disorder in Remission,69.5,female,0
"I've been on Lexapro for 15 years for dysthymia and bouts of clinical depression. The Lex kept the sharpest corners smoothed off, but only gave me a grey existence.

My current Psychiatrist added 5 mg of Abilify to my medications. The effect has been nothing short of a miracle cure.  I hope Abilify continues to work for me for a very long time.",ive lexapro years dysthymia bouts clinical depression lex kept sharpest corners smoothed gave grey existence current psychiatrist added medications effect short miracle cure hope continues work long time,Positif,0.4939,     Additional Medications to Treat Depression,69.5,female,4
This medication made me zone out. I had no idea people were even talking to me. It was extremely expensive. I would not recommend.,medication zone idea people talking extremely expensive recommend,Positif,0.4173,     Additional Medications to Treat Depression,21.5,female,4
"I was on Abilify for two years or so, it worked great until by body continued to build a high tolerance on it. I started at a decently low dose and had to be increased every now and then. I eventually reached the max dosage- I had already been at a very high dose for my age- and had to be taken off because of the inability to control facial expressions and other muscles (Tardive Dyskinesia).",years worked great body continued build high tolerance started decently low dose increased eventually reached max dosage high dose age taken inability control facial expressions muscles tardive dyskinesia,Positif,0.6124,     Additional Medications to Treat Depression,59.5,female,2
"It seems to be working ok, although it makes me sleepy, and I constantly feel hungry.",working ok makes sleepy constantly feel hungry,Positif,0.296,     Additional Medications to Treat Depression,39.5,female,3
"It seems to be working ok, although it makes me sleepy, and I constantly feel hungry.",working ok makes sleepy constantly feel hungry,Positif,0.296,     Additional Medications to Treat Depression,39.5,female,3
This is good drug to cure schizophrenia,good cure schizophrenia,Positif,0.4404,     Schizophrenia,39.5,male,4
its good,good,Positif,0.4404,     Tourette's,15.5,nan,4
Essentially I was undiagnosed bipolar for many years. Once I finally got my diagnosis I was put on Abilify and I could see clearly again. It saved my life truly. Yes I have gained weight but I think its also from my own bad habits as well. I still have episodes sometimes but I dont feel hopeless anymore and thats what matters. I feel level the majority of the time so Ill take it.,essentially undiagnosed bipolar years finally got diagnosis clearly saved life truly yes gained weight think bad habits episodes dont feel hopeless anymore thats matters feel level majority time ill,Positif,0.8393,     Bipolar I Disorder with Most Recent Episode Mixed,29.5,female,0
I have been on Abilify 20mg for over 10 years. It has helped my brain. But I was advised to stay on it during pregnancy  My baby was born with Cleft lip and palate.  I have gained 60 kgs and am now obese. I do not recommend taking it for long term. I did research this evening and am really concerned that my life will probably end in my 60's. I have had other health issues while on it. And desperately trying to find something else.,years helped brain advised stay pregnancy baby born cleft lip palate gained kgs obese recommend long term did research evening really concerned life probably end s health issues desperately trying,Positif,0.3612,     Mania associated with Bipolar Disorder,39.5,female,0
"I love this medication and its always helped greatly! I take 20mg Ablify,0.5 Kolopin and 250mg Effexor once daily which I perfer night time cause they make me tired. Im bummed that ive gained up to 40lbs on ablify its a major side effect. Other than that this drug is a miracle drug and definitely helps with depression.",love medication helped greatly ablify kolopin effexor daily perfer night time cause make tired im bummed ive gained lbs ablify major effect miracle definitely helps depression,Positif,0.8519,     Additional Medications to Treat Depression,29.5,female,0
Hey y'all i jus wanna say this medicine has worked wonders for me i am on the 10 mg dose n i take it alone. Yes i have gained some weight which i needed jus got to watch what u eat n fight the cravings. It had always helped me get off the hard drugs...FINALLY!!! I never thought i would have the chance to say this.,hey yall jus wanna say medicine worked wonders dose n yes gained weight needed jus got watch u eat n fight cravings helped hard drugsfinally thought chance say,Positif,0.5106,     Schizophrenia,29.5,female,0
"I love this medication and its always helped greatly! I take 20mg Ablify,0.5 Kolopin and 250mg Effexor once daily which I perfer night time cause they make me tired. Im bummed that ive gained up to 40lbs on ablify its a major side effect. Other than that this drug is a miracle drug and definitely helps with depression.",love medication helped greatly ablify kolopin effexor daily perfer night time cause make tired im bummed ive gained lbs ablify major effect miracle definitely helps depression,Positif,0.8519,     Bipolar I Disorder with Most Recent Episode Mixed,21.5,female,0
I have been on ability for 10 + years Ive worked full time 7 to present.  Its a miracle for me accompanied with therapy.  But what has not worked is the generic no matter the dose its not the same.   I live independently and I thank the medication for this.,ability years ive worked time present miracle accompanied therapy worked generic matter dose live independently thank medication,Positif,0.8271,     Schizophrenia,39.5,male,0
"I was on Abilify for two years or so, it worked great until by body continued to build a high tolerance on it. I started at a decently low dose and had to be increased every now and then. I eventually reached the max dosage- I had already been at a very high dose for my age- and had to be taken off because of the inability to control facial expressions and other muscles (Tardive Dyskinesia).",years worked great body continued build high tolerance started decently low dose increased eventually reached max dosage high dose age taken inability control facial expressions muscles tardive dyskinesia,Positif,0.6124,     Additional Medications to Treat Depression,39.5,female,2
"I love this medication and its always helped greatly! I take 20mg Ablify,0.5 Kolopin and 250mg Effexor once daily which I perfer night time cause they make me tired. Im bummed that ive gained up to 40lbs on ablify its a major side effect. Other than that this drug is a miracle drug and definitely helps with depression.",love medication helped greatly ablify kolopin effexor daily perfer night time cause make tired im bummed ive gained lbs ablify major effect miracle definitely helps depression,Positif,0.8519,     Additional Medications to Treat Depression,29.5,nan,0
Best of drugs until now,best drugs,Positif,0.6369,     Schizophrenia,39.5,female,4
The name brand is absolutely amazing unfortunately insurance companies will not cover this drug for everyday people we get the generics and then the generics get generics and pretty soon we're taking drywall from China. And they do not work at all so I have to stop the drug because I cannot afford to get the real one.,brand absolutely amazing unfortunately insurance companies cover everyday people generics generics generics pretty soon drywall china work stop afford real,Positif,0.5291,     Bipolar I Disorder with Most Recent Episode Mixed,39.5,female,3
The name brand is absolutely amazing unfortunately insurance companies will not cover this drug for everyday people we get the generics and then the generics get generics and pretty soon we're taking drywall from China. And they do not work at all so I have to stop the drug because I cannot afford to get the real one.,brand absolutely amazing unfortunately insurance companies cover everyday people generics generics generics pretty soon drywall china work stop afford real,Positif,0.5291,     Bipolar Disorder in Remission,29.5,female,3
I have been taking Abilify for 3 yrs. and conjunction with Cymbalta. Worked great; however I gained 60lbs. Went off Cymbalta a month ago and went off the Abilify 3days ago. I have dull headaches that I contribute to going off Abilify. Can someone tell me how long it takes to leave your system and how long before I start to lose the weight gain. I walk 3.5lbs on treadmill 5X a week.,yrs conjunction cymbalta worked great gained lbs went cymbalta month ago went days ago dull headaches contribute going tell long takes leave long start lose weight gain walk lbs treadmill x week,Positif,0.6705,     Bipolar I Disorder with Most Recent Episode Mixed,39.5,nan,1
The name brand is absolutely amazing unfortunately insurance companies will not cover this drug for everyday people we get the generics and then the generics get generics and pretty soon we're taking drywall from China. And they do not work at all so I have to stop the drug because I cannot afford to get the real one.,brand absolutely amazing unfortunately insurance companies cover everyday people generics generics generics pretty soon drywall china work stop afford real,Positif,0.5291,     Bipolar Disorder in Remission,29.5,male,3
I have been taking Abilify for 3 yrs. and conjunction with Cymbalta. Worked great; however I gained 60lbs. Went off Cymbalta a month ago and went off the Abilify 3days ago. I have dull headaches that I contribute to going off Abilify. Can someone tell me how long it takes to leave your system and how long before I start to lose the weight gain. I walk 3.5lbs on treadmill 5X a week.,yrs conjunction cymbalta worked great gained lbs went cymbalta month ago went days ago dull headaches contribute going tell long takes leave long start lose weight gain walk lbs treadmill x week,Positif,0.6705,     Other,29.5,male,1
"I was on Abilify for two years or so, it worked great until by body continued to build a high tolerance on it. I started at a decently low dose and had to be increased every now and then. I eventually reached the max dosage- I had already been at a very high dose for my age- and had to be taken off because of the inability to control facial expressions and other muscles (Tardive Dyskinesia).",years worked great body continued build high tolerance started decently low dose increased eventually reached max dosage high dose age taken inability control facial expressions muscles tardive dyskinesia,Positif,0.6124,     Schizophrenia,29.5,nan,2
The name brand is absolutely amazing unfortunately insurance companies will not cover this drug for everyday people we get the generics and then the generics get generics and pretty soon we're taking drywall from China. And they do not work at all so I have to stop the drug because I cannot afford to get the real one.,brand absolutely amazing unfortunately insurance companies cover everyday people generics generics generics pretty soon drywall china work stop afford real,Positif,0.5291,     Other,39.5,male,3
"I was on Abilify for two years or so, it worked great until by body continued to build a high tolerance on it. I started at a decently low dose and had to be increased every now and then. I eventually reached the max dosage- I had already been at a very high dose for my age- and had to be taken off because of the inability to control facial expressions and other muscles (Tardive Dyskinesia).",years worked great body continued build high tolerance started decently low dose increased eventually reached max dosage high dose age taken inability control facial expressions muscles tardive dyskinesia,Positif,0.6124,     Tourette's,29.5,male,2
I was rxed Abilify to treat Bipolar 1. I tend to be on the hypomanic side and struggled to find a med that could balance me. Finally my Psychiatrist tried me on Abilify and it worked like a charm.,rxed treat bipolar tend hypomanic struggled med balance finally psychiatrist tried worked like charm,Positif,0.6705,     Bipolar I Disorder with Most Recent Episode Mixed,59.5,female,4
I have been taking Abilify for 3 yrs. and conjunction with Cymbalta. Worked great; however I gained 60lbs. Went off Cymbalta a month ago and went off the Abilify 3days ago. I have dull headaches that I contribute to going off Abilify. Can someone tell me how long it takes to leave your system and how long before I start to lose the weight gain. I walk 3.5lbs on treadmill 5X a week.,yrs conjunction cymbalta worked great gained lbs went cymbalta month ago went days ago dull headaches contribute going tell long takes leave long start lose weight gain walk lbs treadmill x week,Positif,0.6705,     A Rare Developmental Disorder of Infants,59.5,male,1
I have been taking Abilify for 3 yrs. and conjunction with Cymbalta. Worked great; however I gained 60lbs. Went off Cymbalta a month ago and went off the Abilify 3days ago. I have dull headaches that I contribute to going off Abilify. Can someone tell me how long it takes to leave your system and how long before I start to lose the weight gain. I walk 3.5lbs on treadmill 5X a week.,yrs conjunction cymbalta worked great gained lbs went cymbalta month ago went days ago dull headaches contribute going tell long takes leave long start lose weight gain walk lbs treadmill x week,Positif,0.6705,     Additional Medications to Treat Depression,21.5,female,1
Added to Prozac that I've taken for years..ENERGY.. Profound and desirable!! Got me off the couch...Very happy compared to without it..I hope others see similar effects..,added prozac ive taken yearsenergy profound desirable got couchvery happy compared iti hope similar,Positif,0.836,     Additional Medications to Treat Depression,69.5,male,4
I have been taking Abilify for 3 yrs. and conjunction with Cymbalta. Worked great; however I gained 60lbs. Went off Cymbalta a month ago and went off the Abilify 3days ago. I have dull headaches that I contribute to going off Abilify. Can someone tell me how long it takes to leave your system and how long before I start to lose the weight gain. I walk 3.5lbs on treadmill 5X a week.,yrs conjunction cymbalta worked great gained lbs went cymbalta month ago went days ago dull headaches contribute going tell long takes leave long start lose weight gain walk lbs treadmill x week,Positif,0.6705,     Additional Medications to Treat Depression,15.5,male,1
The name brand is absolutely amazing unfortunately insurance companies will not cover this drug for everyday people we get the generics and then the generics get generics and pretty soon we're taking drywall from China. And they do not work at all so I have to stop the drug because I cannot afford to get the real one.,brand absolutely amazing unfortunately insurance companies cover everyday people generics generics generics pretty soon drywall china work stop afford real,Positif,0.5291,     Mania associated with Bipolar Disorder,59.5,nan,3
I have been taking Abilify for 3 yrs. and conjunction with Cymbalta. Worked great; however I gained 60lbs. Went off Cymbalta a month ago and went off the Abilify 3days ago. I have dull headaches that I contribute to going off Abilify. Can someone tell me how long it takes to leave your system and how long before I start to lose the weight gain. I walk 3.5lbs on treadmill 5X a week.,yrs conjunction cymbalta worked great gained lbs went cymbalta month ago went days ago dull headaches contribute going tell long takes leave long start lose weight gain walk lbs treadmill x week,Positif,0.6705,     Additional Medications to Treat Depression,59.5,male,1
"I was on Abilify for two years or so, it worked great until by body continued to build a high tolerance on it. I started at a decently low dose and had to be increased every now and then. I eventually reached the max dosage- I had already been at a very high dose for my age- and had to be taken off because of the inability to control facial expressions and other muscles (Tardive Dyskinesia).",years worked great body continued build high tolerance started decently low dose increased eventually reached max dosage high dose age taken inability control facial expressions muscles tardive dyskinesia,Positif,0.6124,     Bipolar I Disorder with Most Recent Episode Mixed,29.5,female,2
I have been taking Abilify for 3 yrs. and conjunction with Cymbalta. Worked great; however I gained 60lbs. Went off Cymbalta a month ago and went off the Abilify 3days ago. I have dull headaches that I contribute to going off Abilify. Can someone tell me how long it takes to leave your system and how long before I start to lose the weight gain. I walk 3.5lbs on treadmill 5X a week.,yrs conjunction cymbalta worked great gained lbs went cymbalta month ago went days ago dull headaches contribute going tell long takes leave long start lose weight gain walk lbs treadmill x week,Positif,0.6705,     Bipolar I Disorder with Most Recent Episode Mixed,39.5,female,1
"Combined with my antidepressant (Lexapro), Abilify has been very effective for me in treating my depression.  I have experienced significant weight gain that is hard to shed.",combined antidepressant lexapro effective treating depression experienced significant weight gain hard shed,Positif,0.4939,     Additional Medications to Treat Depression,49.5,male,0
I have been taking Abilify for 3 yrs. and conjunction with Cymbalta. Worked great; however I gained 60lbs. Went off Cymbalta a month ago and went off the Abilify 3days ago. I have dull headaches that I contribute to going off Abilify. Can someone tell me how long it takes to leave your system and how long before I start to lose the weight gain. I walk 3.5lbs on treadmill 5X a week.,yrs conjunction cymbalta worked great gained lbs went cymbalta month ago went days ago dull headaches contribute going tell long takes leave long start lose weight gain walk lbs treadmill x week,Positif,0.6705,     Schizophrenia,29.5,male,1
I have been taking Abilify for 3 yrs. and conjunction with Cymbalta. Worked great; however I gained 60lbs. Went off Cymbalta a month ago and went off the Abilify 3days ago. I have dull headaches that I contribute to going off Abilify. Can someone tell me how long it takes to leave your system and how long before I start to lose the weight gain. I walk 3.5lbs on treadmill 5X a week.,yrs conjunction cymbalta worked great gained lbs went cymbalta month ago went days ago dull headaches contribute going tell long takes leave long start lose weight gain walk lbs treadmill x week,Positif,0.6705,     Other,49.5,male,1
I have been taking Abilify for 3 yrs. and conjunction with Cymbalta. Worked great; however I gained 60lbs. Went off Cymbalta a month ago and went off the Abilify 3days ago. I have dull headaches that I contribute to going off Abilify. Can someone tell me how long it takes to leave your system and how long before I start to lose the weight gain. I walk 3.5lbs on treadmill 5X a week.,yrs conjunction cymbalta worked great gained lbs went cymbalta month ago went days ago dull headaches contribute going tell long takes leave long start lose weight gain walk lbs treadmill x week,Positif,0.6705,     Other,29.5,nan,1
"I loved that it gave me the energy to get mo I have. Including getting out of the house and doing things. It I was like the dark cloud was gone. But , now having shopping problems spending money all the time, more OCD with cleaning organizing and am washing my hands now gone back to wear white gloves all day.",loved gave energy mo including getting house doing things like dark cloud gone having shopping problems spending money time ocd cleaning organizing washing hands gone wear white gloves day,Positif,0.7003,     Additional Medications to Treat Depression,39.5,nan,4
Only side effect was feeling nauseous for a week or 2. Its gradually getting rid of the voices and hallucinations so hopefully Ill get well very soon. Using to come off 600mg Quetiapine,effect feeling nauseous week gradually getting rid voices hallucinations hopefully ill soon using come quetiapine,Positif,0.1027,     Mania associated with Bipolar Disorder,49.5,female,4
I have been taking Abilify for 3 yrs. and conjunction with Cymbalta. Worked great; however I gained 60lbs. Went off Cymbalta a month ago and went off the Abilify 3days ago. I have dull headaches that I contribute to going off Abilify. Can someone tell me how long it takes to leave your system and how long before I start to lose the weight gain. I walk 3.5lbs on treadmill 5X a week.,yrs conjunction cymbalta worked great gained lbs went cymbalta month ago went days ago dull headaches contribute going tell long takes leave long start lose weight gain walk lbs treadmill x week,Positif,0.6705,     Additional Medications to Treat Depression,15.5,female,1
I noticed improvement in my motivation within a couple of weeks. My new progress and focus feel good and natural. I've had no side effects that I'm aware of. I'm also on Lorazepam (as needed) and Wellbutrin 450 mg.,noticed improvement motivation couple weeks new progress focus feel good natural ive im aware im lorazepam needed wellbutrin,Positif,0.9118,     Additional Medications to Treat Depression,59.5,nan,4
my mania expressed itself as alcoholism. This drug cured that and I drink normally today. Its a brilliant drug,mania expressed alcoholism cured drink normally today brilliant,Positif,0.5859,     Mania associated with Bipolar Disorder,49.5,female,4
"I saw improvement but within three months I noticed severe facial, eye lid, and body twitches. I didnâ??t know about this side effect till after the fact and although I only took it for a few months it has been a year and I still twitch.",saw improvement months noticed severe facial eye lid body twitches didnt know effect till fact took months year twitch,Positif,0.1027,     Schizophrenia,39.5,nan,0
I have been taking Abilify for 3 yrs. and conjunction with Cymbalta. Worked great; however I gained 60lbs. Went off Cymbalta a month ago and went off the Abilify 3days ago. I have dull headaches that I contribute to going off Abilify. Can someone tell me how long it takes to leave your system and how long before I start to lose the weight gain. I walk 3.5lbs on treadmill 5X a week.,yrs conjunction cymbalta worked great gained lbs went cymbalta month ago went days ago dull headaches contribute going tell long takes leave long start lose weight gain walk lbs treadmill x week,Positif,0.6705,     A Rare Developmental Disorder of Infants,49.5,female,1
I have been taking Abilify for 3 yrs. and conjunction with Cymbalta. Worked great; however I gained 60lbs. Went off Cymbalta a month ago and went off the Abilify 3days ago. I have dull headaches that I contribute to going off Abilify. Can someone tell me how long it takes to leave your system and how long before I start to lose the weight gain. I walk 3.5lbs on treadmill 5X a week.,yrs conjunction cymbalta worked great gained lbs went cymbalta month ago went days ago dull headaches contribute going tell long takes leave long start lose weight gain walk lbs treadmill x week,Positif,0.6705,     Additional Medications to Treat Depression,59.5,female,1
"I am currently on this medication and I have not seen any improvement yet besides the fact that my sx from a long time ago are coming back - spending, irritability, etc. I plan to increase it tonight and observe in the couple days ahead. Goodluck. ??",currently medication seen improvement fact sx long time ago coming spending irritability plan increase tonight observe couple days ahead goodluck,Positif,0.4404,     Bipolar I Disorder with Most Recent Episode Mixed,29.5,female,4
Help me live a better life,help live better life,Positif,0.6808,     Mania associated with Bipolar Disorder,29.5,male,0
"I took abilify with my zoloft for 5 yrs...I felt great but the side effects about destroyed my marriage. I had an uncontrollable desire to gamble. Luckily I have a very loving husband. Stopped taking it 8 months ago. It took about a month for the urge to gamble to go away. I can honestly say, I have no desire to gamble again..",took zoloft yrsi felt great destroyed marriage uncontrollable desire gamble luckily loving husband stopped months ago took month urge gamble away honestly say desire gamble,Positif,0.9201,     Additional Medications to Treat Depression,49.5,female,0
"I was on abilify for a few months almost 4 years ago. It definitely helped with my mania and mood swings but holy cow, did this make me spend money! Yeah, I mean I felt great, but I bought so much ridiculous stuff, like a treadmill, a tanning bed and a folding mountain bike. I never put 2 and 2 together until I had racked up 10,000 in credit card bills and had to file bankruptcy. So yeah, beware!",months years ago definitely helped mania mood swings holy cow did make spend money yeah mean felt great bought ridiculous stuff like treadmill tanning bed folding mountain bike racked credit card bills file bankruptcy yeah beware,Positif,0.9153,     Mania associated with Bipolar Disorder,29.5,female,0
I have been on Abilify for 3 years. It is like a miracle drug. In combination with Zoloft I am  basically depression free. No dark lows and I feel better about myself than I have in years. Interested in getting out and being productive.,years like miracle combination zoloft basically depression free dark lows feel better years interested getting productive,Positif,0.8658,     Additional Medications to Treat Depression,69.5,female,4
I am taking lexapro and abilify.  Have had deppression off and on for years.  The last one was the worst.  Within 10 days I was feeling like an  entirely different person with no side effects at all. I have not felt this good in years.  Hope it lasts.,lexapro deppression years worst days feeling like entirely different person felt good years hope lasts,Positif,0.5719,     Additional Medications to Treat Depression,80.0,male,4
