description-text,clean_review,sentiment,sentiment_score,Condition,Age_numeric,Gender
"I've taken Abilify to augment bupropion for Bipolar Disorder and associated Major Depression for years now and it's been exceptionally effective.
I especially like it because I've had no side effects unlike other antipsychotics.
I highly recommend despite the negative reviews from a small number of users.",ive taken abilify augment bupropion bipolar disorder associated major depression years exceptionally effective especially like ive side effects unlike antipsychotics highly recommend despite negative reviews small number users,Positif,0.751,     Bipolar Disorder in Remission,69.5,female
Worked for 3 months. Waste of time. You think your all better then it's like taking candy and it doesnt do anything anymore. Not worth 768 dollars.,worked months waste time think better like taking candy doesnt anything anymore worth dollars,Positif,0.2344,     Schizophrenia,39.5,male
"Worked really well for like 2 months then I got restlessness and couldn't stop moving so bad I couldn't barely drive my car because I was was just exploding with movement and having suicidal thoughts. Read online that it could of been permanent, that would of ruined my life, thankfully I've been off of it and it has slowly went away.",worked really well like months got restlessness couldnt stop moving bad couldnt barely drive car exploding movement suicidal thoughts read online could permanent would ruined life thankfully ive slowly went away,Positif,0.2286,     Schizophrenia,29.5,male
This is the worst drug on the market. It caused me to gain over 50 pounds and I developed a compulsive gambling problem. The drug company Bristol-Meyers claims they did nothing wrong. This drug ruined my life and left me far more depressed than before I took it.,worst drug market caused gain pounds developed compulsive gambling problem drug company bristolmeyers claims nothing wrong drug ruined life left far depressed took,Négatif,-0.3802,     Additional Medications to Treat Depression,39.5,female
"I was prescribed as a child at 15 years old. It caused me to have muscle spasms in my jaw. I could not open my mouth and was on the verge of breaking my jaw. All the psychiatrist did was lower my dosage, I was forced to take this for 2 years due to my adolescents. Now I have a long term side effect of chronic tmj and I have just recently broke my jaw while eating cereal as an adult, 18 years down the road.",prescribed child years old caused muscle spasms jaw could open mouth verge breaking jaw psychiatrist lower dosage forced take years due adolescents long term side effect chronic tmj recently broke jaw eating cereal adult years road,Négatif,-0.7906,     Additional Medications to Treat Depression,49.5,female
"ABILIFY IS POISON. IT CAUSED ME TO BE A COMPULSIVE GAMBLER. IT DID NOT HELP. IT SHOULD BE ILLEGAL. THE COMPANY THAT MADE ABILIFY OR ARIPROPRAZOLE IS SCAMMING U.S. TAXPAYERS BY HAVING MEDICAL INSURANCE PAY OUTRAGEOUS AMOUNTS OF MONEY TO BUY THEIR DRUG THAT SHOULD NEVER BE TAKEN. IT'S A SCAM, AND SO ARE 99% OF THE GO TO DRUGS FOR PYSCHIATRISTS.",abilify poison caused compulsive gambler help illegal company made abilify ariproprazole scamming us taxpayers medical insurance pay outrageous amounts money buy drug never taken scam go drugs pyschiatrists,Négatif,-0.7005,     Other,29.5,female
My sister has been taking Ability for about 3yrs now. In the last 1 1/2 yrs her impulsive behavior has increased. She liked to gamble every so often before but over the past 1 1/2 yrs if has gotten out of control. She was also started on Fluvoxamine about 1 yr ago. Has anyone ever expected this side effect?  Thanks,sister taking ability yrs last yrs impulsive behavior increased liked gamble every often past yrs gotten control also started fluvoxamine yr ago anyone ever expected side effect thanks,Positif,0.8442,     Additional Medications to Treat Depression,59.5,female
"I've been on Lexapro for 15 years for dysthymia and bouts of clinical depression. The Lex kept the sharpest corners smoothed off, but only gave me a grey existence.

My current Psychiatrist added 5 mg of Abilify to my medications. The effect has been nothing short of a miracle cure.  I hope Abilify continues to work for me for a very long time.",ive lexapro years dysthymia bouts clinical depression lex kept sharpest corners smoothed gave grey existence current psychiatrist added mg abilify medications effect nothing short miracle cure hope abilify continues work long time,Négatif,-0.5679,     Additional Medications to Treat Depression,39.5,female
"This worked great to stabilize my mood, however the side effects were WAY too strong. The main issue I had with this was how it spiked my anxiety. I went from bouncing my knees every so often to having to stand up and start pacing, not being able to sit down and just being extremely restless. It got in the way of my every day activities and was an overall nuisance. Not very happy with this one.",worked great stabilize mood however side effects way strong main issue spiked anxiety went bouncing knees every often stand start pacing able sit extremely restless got way every day activities overall nuisance happy one,Positif,0.8405,     Additional Medications to Treat Depression,15.5,transgender
"Nightmarish to say the least. Gave me suicidal thoughts, insomnia, mania, the impression that I want to just sleep with men, delusions and hallucinations. If you take this make sure you camp out outside a hospital. Not good at all and wish I had that time back!",nightmarish say least gave suicidal thoughts insomnia mania impression want sleep men delusions hallucinations take make sure camp outside hospital good wish time back,Positif,0.5574,     Other,39.5,female
"ABILIFY IS POISON. IT CAUSED ME TO BE A COMPULSIVE GAMBLER. IT DID NOT HELP. IT SHOULD BE ILLEGAL. THE COMPANY THAT MADE ABILIFY OR ARIPROPRAZOLE IS SCAMMING U.S. TAXPAYERS BY HAVING MEDICAL INSURANCE PAY OUTRAGEOUS AMOUNTS OF MONEY TO BUY THEIR DRUG THAT SHOULD NEVER BE TAKEN. IT'S A SCAM, AND SO ARE 99% OF THE GO TO DRUGS FOR PYSCHIATRISTS.",abilify poison caused compulsive gambler help illegal company made abilify ariproprazole scamming us taxpayers medical insurance pay outrageous amounts money buy drug never taken scam go drugs pyschiatrists,Négatif,-0.7005,     Additional Medications to Treat Depression,59.5,female
"Abilify caused me to gain over 70lbs. develop type 2 diabetes a terrible rash over my entire body & has made me feel suicidal for years. In addition to these side effects it has made me have more episodes at night with my sleep apnea, restless legs and terrible leg cramps. I have been on this drug for 10-15 years still experience sensation hallucinations and intense nightmares, some night feeling like I was going to die. Stay off this drug trust this guinea pig it will ruin your life!",abilify caused gain lbs develop type diabetes terrible rash entire body made feel suicidal years addition side effects made episodes night sleep apnea restless legs terrible leg cramps drug years still experience sensation hallucinations intense nightmares night feeling like going die stay drug trust guinea pig ruin life,Négatif,-0.9217,     Bipolar I Disorder with Most Recent Episode Mixed,29.5,female
